"Wavenumber","PSI_002","PSI_003","PSI_004","PSI_005","PSI_006","PSI_007","PSI_008","PSI_009","PSI_010","PSI_011","PSI_012","PSI_013","PSI_014","PSI_015","PSI_016","PSI_017","PSI_018","PSI_019","PSI_020","PSI_022"
3996.29779,0.86966,1.3126,0.88322,1.28381,1.21058,1.51558,0.76116,1.29566,1.17406,0.99114,1.01655,0.79654,1.01753,1.41104,0.90294,0.80396,1.28711,0.78165,1.36155,1.05382
3994.36907,0.8688,1.31169,0.88237,1.28277,1.20973,1.51442,0.7604,1.29467,1.17317,0.9902,1.01564,0.79574,1.01663,1.41027,0.90217,0.80316,1.28623,0.7808,1.36061,1.05286
3992.44035,0.86794,1.31077,0.88151,1.28175,1.20889,1.51322,0.75963,1.29364,1.17228,0.98925,1.01472,0.79493,1.01573,1.40949,0.90139,0.80236,1.28535,0.77996,1.35967,1.05191
3990.51164,0.86708,1.30984,0.88066,1.28078,1.20802,1.51199,0.75884,1.29256,1.17137,0.9883,1.01379,0.79411,1.01481,1.40866,0.90059,0.80153,1.28449,0.77913,1.35878,1.05096
3988.58292,0.86622,1.3089,0.87979,1.27988,1.2071,1.51077,0.75803,1.29145,1.17041,0.98735,1.01288,0.79327,1.01387,1.40778,0.89978,0.80069,1.28358,0.77831,1.35795,1.05003
3986.65421,0.86537,1.30797,0.87892,1.27903,1.20613,1.50964,0.75723,1.29037,1.16939,0.98641,1.01197,0.79245,1.0129,1.40684,0.89895,0.79985,1.28259,0.7775,1.35717,1.0491
3984.72549,0.8645,1.30704,0.87804,1.27822,1.20517,1.50864,0.75644,1.28933,1.1683,0.98548,1.01107,0.79166,1.01194,1.4059,0.89811,0.79902,1.28155,0.77671,1.35637,1.04818
3982.79678,0.86363,1.30607,0.87718,1.27741,1.20423,1.50776,0.75568,1.28834,1.1672,0.98456,1.01016,0.79088,1.011,1.40496,0.89726,0.79821,1.28051,0.77593,1.35552,1.04726
3980.86806,0.86278,1.30503,0.87633,1.27657,1.2033,1.50694,0.75494,1.2874,1.16615,0.98363,1.00925,0.79009,1.01008,1.40402,0.89642,0.79742,1.2795,0.77515,1.35459,1.04631
3978.93935,0.86195,1.30393,0.87548,1.2757,1.20234,1.50603,0.75421,1.28652,1.16517,0.98268,1.00836,0.78928,1.00917,1.40308,0.8956,0.79662,1.27852,0.77436,1.35361,1.04533
3977.01063,0.86114,1.30281,0.87465,1.27484,1.20135,1.50502,0.75348,1.28566,1.16423,0.9817,1.00749,0.78844,1.00825,1.40215,0.89479,0.79583,1.27754,0.77356,1.35262,1.04433
3975.08192,0.86033,1.30174,0.87382,1.274,1.20038,1.504,0.75274,1.28477,1.16333,0.98071,1.00666,0.78761,1.00735,1.40124,0.894,0.79503,1.27659,0.77277,1.35166,1.04336
3973.1532,0.85952,1.30071,0.87297,1.27316,1.19943,1.50304,0.75199,1.2838,1.16247,0.97971,1.00582,0.7868,1.00646,1.40034,0.89322,0.79422,1.2757,0.77197,1.35072,1.04243
3971.22449,0.85871,1.29968,0.87211,1.27229,1.19852,1.50207,0.75122,1.28275,1.16163,0.97874,1.00495,0.78599,1.00557,1.39944,0.89242,0.79339,1.27483,0.77117,1.3498,1.04152
3969.29577,0.85788,1.29861,0.87123,1.27134,1.19762,1.50102,0.75043,1.2817,1.16077,0.97778,1.00401,0.78517,1.00467,1.39851,0.8916,0.79255,1.27398,0.77034,1.34889,1.04062
3967.36706,0.85705,1.29754,0.87038,1.27036,1.19671,1.4999,0.74964,1.2807,1.15985,0.97684,1.00304,0.78433,1.00374,1.39753,0.89074,0.79173,1.27311,0.7695,1.34796,1.03971
3965.43834,0.8562,1.29652,0.86954,1.26937,1.19577,1.49879,0.74885,1.2798,1.15889,0.9759,1.00206,0.78347,1.00277,1.3965,0.88988,0.79093,1.27223,0.76866,1.34701,1.03879
3963.50963,0.85534,1.29551,0.86869,1.26843,1.1948,1.49772,0.74807,1.27897,1.1579,0.97494,1.0011,0.78263,1.00179,1.39544,0.889,0.79014,1.27135,0.76783,1.34605,1.03785
3961.58091,0.85447,1.29449,0.86781,1.26754,1.19381,1.49668,0.74729,1.27814,1.15689,0.97399,1.00019,0.78182,1.00086,1.39444,0.88815,0.78933,1.27046,0.76701,1.34517,1.03693
3959.6522,0.8536,1.29344,0.86693,1.26666,1.19284,1.49566,0.74652,1.2772,1.1559,0.97306,0.99934,0.78104,1,1.39351,0.88731,0.78851,1.26956,0.76621,1.34437,1.03602
3957.72348,0.85274,1.29238,0.86607,1.26579,1.19186,1.49464,0.74576,1.27614,1.15494,0.97217,0.99852,0.78027,0.99917,1.39264,0.88647,0.78768,1.26862,0.76544,1.34361,1.03511
3955.79477,0.85192,1.29132,0.86522,1.26494,1.19088,1.49361,0.745,1.27502,1.15402,0.97129,0.99772,0.77951,0.99832,1.39181,0.88565,0.78687,1.26763,0.76468,1.34282,1.0342
3953.86605,0.85112,1.2903,0.8644,1.26413,1.18992,1.49257,0.74426,1.27395,1.15314,0.97042,0.99691,0.77876,0.99746,1.39099,0.88483,0.78608,1.26662,0.76393,1.34194,1.03328
